文档标题,所属项目,文档关键词,文档内容概述
YWFE_公用CDN服务,业务运营项目,技术类文档; cdn; ywwl; 公用库; min; 业务项目,【文档概述】本文档主要阐述了YWFE_公用CDN服务的相关内容，包括：支持 http 及 https 。推荐自适应方式应引用
【绑定打印机】使用教程终（加域版）,技术平台项目,知识类文档; 双击安装驱动; 绑定; 注册,【实施方案】前两步骤操作完即可正常打印。之后再打印直接刷卡即可，不用输入账户密码了。
公司VPN连接手册,运营推广项目,知识类文档; 安装客户端; 配置客户端; 填入,【主要内容】点击保存，点击链接，填入 confluence/gitlab 用户名密码，请注意，公司测试需要链接手机热点，没有账密的同学找墨麟开通。 首先，根据您的电脑类型，下载 secoclient 对应客户端安装包，下一步安装
内控中心-新人手册,人力资源项目,知识类文档; 链接; 内控中心,"【文档概述】本文档描述了内控中心-新人手册相关内容：内控中心-新人手册
链接..."
前端-新人手册,人力资源项目,知识类文档; 前端-新人手册; 前端,"【文档概述】本文档描述了前端-新人手册相关内容：前端-新人手册
..."
前言,流程优化项目,技术类文档; 链接; 前言; 欢迎加入遥望前端,【项目目标】主要使用的前端框架是React， 一些老项目的维护可能会接触到jQuery、vue。微信小程序、公众号以及钉钉小程序在个别项目中也有涉及。 【主要内容】为了能让新来的小伙伴更快的融入到团队当中，所以编写了一段前言把大家平时积累的知识点整合到一起，可以更清晰更快速的了解到这些内容。希望能通过本指引给您带来帮助。 【实施方案】研发流程&安全生产请查看 链接 。
办公设备申请标准,技术平台项目,知识类文档; 办公设备申请标准; 产研通用标准; 显示器设备,【背景情况】联想笔记本每季度为一周期，常有断货情况，按照实际需求紧急度与库存情况，具体型号可能有偏差，算力、内存与硬盘不会低于标准。 256GB硬盘标准的岗位，如确实有大容量工作需求，按实际情况可申请512GB硬盘，由对应TL严格把关需求真实度。
商家中心-新人手册,人力资源项目,知识类文档; 每周一次; 前言; 商家文档,【背景情况】最后再工作，流程上有任何问题，直接大胆问师兄、师姐，以及周围的同事，他们会热心帮你解答，再次欢迎你加入商家中心团队，期待我们一起开创新的篇章。 【实施方案】此文档将帮助你高效完成新人入职的初始化流程。
工作规划,技术平台项目,知识类文档; 回顾; OKR,"【文档概述】本文档描述了工作规划相关内容：工作规划
OKR 制定

点击图片可查看完整表格
OKR 回顾
第一季度 OKR 回顾
第二季度 OKR 回顾
第三季度 OKR 回顾
第四季度 OKR 回顾
..."
工程管理,移动端项目,技术类文档; build; yw; craco; yarn; com; api; test; 执行,【主要内容】所有的项目通过包 @ywfe/cli 控制，包括创建项目，创建lib，api codegen，以及打包 【实施方案】如果应用需要融合在遥望云，执行:
帐户开通与权限索引-通用版,技术平台项目,技术类文档; 产研常用; 开发常用; 行政法务类,【背景情况】该类账号基本为内部LDAP统一帐户，账号对接人为@LDAP时，账号问题咨询LDAP系统对接人
开发及发布流程规范,流程优化项目,管理类文档; 基于; SNAPSHOT; 去掉; 分支; 示例; Tips; version; 为了稳妥起见,【背景情况】正式发布后，1到2天没任何问题报出，则进入下一步 【主要内容】根据自己的改动内容决定是否修改版本号 若改动内容涉及到dubbo接口的改动（增删改），需要修改pom版本号 若有大版本更新，比如服务框架更新、重大功能更新等等，则如示例：1.0.6 => 1.1.0 灰度发布后，使用 灰度账号 验证功能是否正常， 若正常开始正式发布 【实施方案】若有SQL变更，需要登录 数据库审核平台archery 。第一次使用，需申请相关数据库权限，参考 操作手册 把开发分支合并到release分支，若有代码冲突则解决冲突，合并时将release分支的 -SNAPSHOT 去掉 得到群里确认后，方可发布 。jekins上选择tag号发布（此步骤需要获取操作线上环境的权限）
开发规范,流程优化项目,知识类文档; long; the; color; const; of; 2px; solid; div; bad; not; obj; item,【背景情况】箭头函数替代function ： 箭头函数不仅语法简洁易读，而且修复了 this 的问题，特别是在嵌套函数中。 // bad (在移动端会出问题)const longString = 'This is a very long string that \    far exceeds the 80 column limit. It unfortunately \    contains long stretches of spaces due to how the \    continued lines are indented.'; 【主要内容】用单引号，不要用双引号 ： 普通的字符串用单引号分割（’），如果字符串中包含单引号，那么考虑用模板字符串。 【实施方案】= + - 等操作符左右需要空格
技术文档汇总-通用版,知识管理项目,技术类文档; 技术文档汇总; 通用版,"【文档概述】本文档描述了技术文档汇总-通用版相关内容：技术文档汇总-通用版
..."
技术栈,技术平台项目,技术类文档; 技术栈,"【文档概述】本文档描述了技术栈相关内容：技术栈
..."
新人办公小贴士,人力资源项目,知识类文档; 密码; 新人办公小贴士; 办公小贴士,【文档概述】本文档主要阐述了新人办公小贴士的相关内容，包括：WiFi账号：YW-office 密码：yaowang@123 打印机账号：pinpaifang 密码：123456 （要使用打印机需在电脑安装驱动，驱动安装文件请联系对应招商同学，找@公司IT 雷洛/小志协助安装）
新人园地-通关宝典,人力资源项目,知识类文档; 新人园地; 通关宝典,"【文档概述】本文档描述了新人园地-通关宝典相关内容：新人园地-通关宝典
新人培养空间-2025 
..."
新人学习文档,人力资源项目,知识类文档; 新人学习文档,"【文档概述】本文档描述了新人学习文档相关内容：新人学习文档
..."
新人需知,人力资源项目,管理类文档; 周报; 遥望科技; 日报; 完成书写并提交; 相关协同方; 商旅出差; 花酿; 新人需知,【背景情况】入职三个月-阶段review，问题调优； •出差申请行程应与实际情况完全相符，否则会影响考勤数据。 【项目目标】入职首月-目标拉齐、信息交互、实战学习； TL周报：每周日晚18点前，完成书写并提交（有特殊要求的按照特殊要求走，同步HRBP） 【主要内容】①周报的每个必填板块，建议有沉淀、有思考的内容产出 周报：每周六晚24点前，完成书写并提交（发送群内功能开发中，后续通知） 【实施方案】公司实行标准工时和不定时工时，直播业务执行不定时工时。考勤制度->登录 遥望科技 · 遥望科技 （链接必知知识库） *日常加班：每个周日加班及时在人事通申请加班，并关注流程进度（每月7号18点系统会自动结束上月未走完的考勤相关流程），加班每月结算加班补贴； 怡酱：入离职流程、试用期流程、人事相关盖章流程、在职证明、收入证明、社保、公积金、商业保险、公司制度查阅路径、假勤规则、领取生日礼物、领取周年礼物、领取文化周边、投屏需求
直播中心-新人手册,人力资源项目,知识类文档; 直播中心; 新人手册,【文档概述】本文档描述了直播中心-新人手册相关内容：直播中心-新人手册...
研发流程&安全生产,流程优化项目,运维类文档; 研发流程; 安全生产,"【文档概述】本文档描述了研发流程&安全生产相关内容：研发流程&安全生产
..."
福利待遇,人力资源项目,知识类文档; 福利待遇; 带薪假,"【文档概述】本文档描述了福利待遇相关内容：福利待遇
福利待遇
1）带薪假

2）舒适办公

3）学习成长

4）女员工保护

..."
私有NPM仓库使用说明,技术平台项目,知识类文档; npm; nrm; install; yowant; 指定仓库,【主要内容】我们有定制的私有客户端YNPM，npm的常用功能均支持。特别添加了 doc 查看包说明功能。使用方式如下：
语雀空间权限说明,知识管理项目,知识类文档; 关闭; 开启; 高级设置,【主要内容】原则性上，在上层组织架构已经建立团队后，下级团队尽量不再另设团队，而是以知识库来区分子团队内容。
财务专项PRD-V1,财务管理项目,需求类文档; 业绩认领; 毛利确认; 规则; 遥望云; 业务场景和需求点; 功能; 数据输入; 数据输出; 模块逻辑; 结算规则; 需要通知到招商; 直播选品; 高付费规则; 规则的修改; 条件,【背景情况】阶段一：解决现阶段财务系统存在的问题 导致原因：毛利确认时工作室人员更换了商品规则，而他们没权限看合同，因此在业绩认领页面，招商除了关联商品外，还需要复核是否商品更新了规则，合同更新了最新规则 【项目目标】平台风控：品牌方担心平台风控店铺在逃避费用，所以担心被下链接或者关店铺，就会要求佣金按照线上走 【主要内容】阶段二：新增系统功能，争取覆盖80%的财务业务，更高提效 消息模版：卡片消息，卡片内容如下 内容：规则发生修改，请前往查看。 六、产品设计-内控功能优化【做P1&P2】 【实施方案】业务调研文档：财务结算流程-更新至01.24 现有逻辑：坑位费无论哪种状态，都可以通过售后单解决；佣金生成对账单后，商家确认后就不能通过售后单解决。 目前招商人员符合结算规则是否正确，依据是合同，而合同在系统的其他页面，复核操作变得复杂。故需要在业绩认领处关联合同且支持合同预览。
部门初相识,组织管理项目,管理类文档; 定位价值; 职责; 职责：; 线上故障处理流程; 部门初相识; 部门定位; 产品部门; 设计,【背景情况】UI验收（针对界面、交互、功能、bug输出UI验收文档并完成调整优化）、规范基础组件和业务组件并推动落地、问卷调研（收集用户意见和问题） 执行测试用例，发现并报告软件中的缺陷和问题。 【项目目标】制定详细的测试计划和策略，覆盖各种功能、性能、兼容性等方面。 定位价值：是组织内部项目管理的中枢机构，负责制定和优化项目管理流程，提升项目管理效率，确保项目高效推进和战略目标的达成 【主要内容】制定产品的规划和路线图，明确产品的功能特性和优先级。 提升组织内部项目管理能力，包括培训、项目分享和最佳实践推广 【实施方案】定位价值：负责将产品原型转化为用户可操作的界面，提升用户体验，是企业与用户互动的重要窗口 实现页面的交互效果，提升用户操作的流畅性和便捷性，确保产品在不同设备和浏览器上的兼容性。 定位价值：负责是产品的核心支撑，负责数据处理、业务逻辑实现和系统稳定性保障 【预期效果】定位价值：是企业的降本增效策划者，负责制定产品发展方向，挖掘用户需求，确保产品能够满足市场和用户的需求，为企业创造价值 定位价值：负责产品的界面设计，优化用户体验，规范产品的一致性，降低用户使用成本，提高用户满意度
项目日会,技术平台项目,知识类文档; 项目日会,【文档概述】本文档描述了项目日会相关内容：项目日会...
项目管理-新人手册,人力资源项目,管理类文档; ywwl; yuque; 产研项目管理制度; 产研项目管理机制; 制度和计划,【背景情况】以上如有未解决的问题可以找PMO沟通解决。 【项目目标】欢迎小伙伴加入遥望产研中心，接下来的日子将与大家一起开发有趣有价值的项目。项目管理涉及到项目的方方面面，下面让我们一期熟悉起来把~ 产研项目管理制度分为三个大类：项目流程SOP、制度和计划、公共模板。 【实施方案】新入职小伙伴，由师兄讲解项目研发流程、管理制度和模板。 在项目开发过程中，虚拟小组PM也要指导和帮助小入职小伙伴尽快熟悉流程融入项目管理制度中来。 一 项目流程SOP： https://ywwl.yuque.com/ps6v5w/uqyg5y/wgnh3k
飞书空间权限说明,技术平台项目,知识类文档; 飞书空间权限说明,【文档概述】本文档描述了飞书空间权限说明相关内容：飞书空间权限说明...
